acc,ok,n_ca,global,dom_plddt,ndomres,err
Q6XPS3,True,522.0,84.547030651341,94.02030303030304,297.0,
P18433,True,802.0,81.51563591022445,95.85438888888888,540.0,
O14976,True,1311.0,65.72116704805492,90.76413612565445,573.0,
Q63HR2,True,1409.0,58.33848828956707,88.71823741007195,278.0,
Q9HBL0,True,1839.0,52.391538879825994,90.11501805054151,277.0,
O60729,True,498.0,80.25263052208835,96.8941935483871,155.0,
Q13332,True,1948.0,81.48691478439424,90.95617375231052,541.0,
P28827,True,1452.0,83.94078512396695,92.07430769230768,520.0,
P23468,True,1912.0,82.7621129707113,91.74808429118774,522.0,
Q92729,True,1446.0,81.46069847856155,89.07322957198444,514.0,
Q68CZ2,True,1445.0,56.8029757785467,89.7119784172662,278.0,
Q15262,True,1439.0,82.25119527449618,91.67402697495183,519.0,
P08575,True,1306.0,76.04267228177642,88.6552107925801,593.0,
Q93096,True,173.0,88.06445086705202,93.74655462184872,119.0,
Q12974,True,167.0,90.43119760479041,94.51302521008405,119.0,
P60484,True,403.0,83.02808933002481,83.02808933002481,403.0,
Q9HD43,True,1115.0,83.60982959641257,89.000625,288.0,
P56180,True,551.0,81.28756805807622,92.40660130718953,306.0,
P23469,True,700.0,85.84657142857144,94.22721611721612,546.0,
O75365,True,173.0,86.86329479768787,90.92273504273506,117.0,
Q15256,True,657.0,72.24103500761035,94.94724999999998,240.0,
P23467,True,1997.0,80.3098647971958,88.20079136690647,278.0,
O75061,True,913.0,62.87976998904709,90.40373188405798,276.0,
A4D256,True,447.0,85.69038031319911,96.82141935483871,155.0,
Q16827,True,1216.0,77.36111842105262,93.88590909090908,264.0,
P35236,True,360.0,85.76177777777778,93.82012552301256,239.0,
Q4JDL3,True,420.0,77.96297619047618,95.03421875000001,256.0,
Q9UNH5,True,594.0,72.51496632996633,96.84779220779221,154.0,
P29074,True,926.0,77.2151403887689,94.25921875,256.0,
O14522,True,1441.0,83.55204718945177,92.46864970645792,511.0,
Q9UMZ3,True,2332.0,74.90903516295026,83.21722627737226,274.0,
P10586,True,1907.0,81.99017829050865,91.27275280898876,534.0,
Q06124,True,593.0,85.941281618887,92.44824503311258,302.0,
A2A3K4,True,754.0,69.97839522546418,95.66258278145695,151.0,
Q9BVJ7,True,150.0,97.53353333333335,98.19567901234568,81.0,
P23471,True,2315.0,54.1590928725702,87.97574812967581,802.0,
P26045,True,913.0,73.50583789704272,94.147734375,256.0,
Q15678,True,1187.0,63.33417860151644,93.07865942028987,276.0,
Q12923,True,2485.0,60.037967806841046,92.30376425855515,263.0,
Q9Y2R2,True,807.0,58.622713754646846,92.80931899641577,279.0,
Q05209,True,780.0,62.076115384615385,89.81813114754098,305.0,
P29350,True,595.0,86.4549411764706,84.6425626740947,359.0,
Q16667,True,212.0,91.18259433962264,97.52651515151516,132.0,
Q16825,True,1174.0,62.97880749574105,92.30111510791366,278.0,
Q16849,True,979.0,65.52895812053116,94.64803030303031,264.0,
Q8WUK0,True,201.0,91.47,95.99362416107383,149.0,
P17706,True,415.0,85.88607228915662,86.15112469437652,409.0,
P23470,True,1445.0,71.62444982698962,91.32880952380954,798.0,
P51452,True,185.0,95.87686486486487,95.87686486486487,185.0,
P43378,True,593.0,87.3012478920742,93.23996389891695,277.0,
Q99952,True,460.0,76.49430434782609,97.27706349206349,252.0,
P54829,True,565.0,72.03376991150442,94.34514170040485,247.0,
O75319,True,330.0,69.74751515151516,97.19566666666667,90.0,
Q12913,True,1337.0,77.77621540762902,93.99123636363636,275.0,
P19961,True,511.0,96.77244618395304,98.31357142857142,280.0,
Q07837,True,685.0,87.04837956204379,93.41489743589743,390.0,
P18031,True,435.0,81.24298850574712,81.24298850574712,435.0,
P19835,True,753.0,82.55428950863214,92.13195540308746,583.0,
O60942,True,597.0,85.46380234505862,90.74379629629631,108.0,
Q8N0W4,True,816.0,79.08822303921568,91.61476843910806,583.0,
Q92932,True,1015.0,63.448541871921186,93.68973782771536,267.0,
P0DTE7,True,511.0,96.67577299412916,98.29330960854092,281.0,
Q9NZ94,True,848.0,76.41765330188679,86.87115506329114,632.0,
Q8N2Q7,True,863.0,77.14634994206257,87.62582298136645,644.0,
P04746,True,511.0,96.72136986301369,98.33482142857143,280.0,
P23141,True,567.0,93.29680776014109,95.46386740331491,543.0,
P06276,True,602.0,93.3571096345515,96.9484440227704,527.0,
O00748,True,559.0,91.01967799642219,93.97187134502924,513.0,
P0DTE8,True,511.0,96.67616438356166,98.28284697508897,281.0,
Q9NRX4,True,125.0,90.83528,90.83528,125.0,
P22303,True,614.0,92.94102605863192,97.71619402985075,536.0,
P0DUB6,True,511.0,96.70123287671234,98.40498220640569,281.0,
Q8NFZ4,True,835.0,77.73688622754491,89.59671592775041,609.0,
Q6UWW8,True,571.0,91.57108581436077,94.27599236641221,524.0,
Q9H3S7,True,1636.0,69.53882029339853,88.40259515570934,289.0,
Q13231,True,466.0,91.42461373390559,98.18035256410256,312.0,
P36222,True,383.0,94.70362924281984,97.79065573770492,305.0,
Q6P093,True,401.0,95.35743142144639,97.5795283018868,106.0,
Q9BZP6,True,476.0,91.57693277310925,98.15564263322884,319.0,
Q5XG92,True,561.0,92.74964349376114,94.12132841328413,542.0,
Q15782,True,390.0,94.62023076923077,98.35590163934427,305.0,
Q01459,True,385.0,91.61309090909091,97.60511013215859,227.0,
Q8NFZ3,True,816.0,79.21743872549021,92.17492281303602,583.0,
